,category_round_id,round_name,score,ascents,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,starting_group,speed_elimination_stages
29,6768,Semi-Final,39,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '39', 'plus': False, 'restarted': False, 'time_ms': 248000, 'modified': '2021-09-21 10:24:37 +00:00', 'status': 'locked'}]",642,11,Molly,THOMPSON-SMITH,,,GBR,11,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
30,6141,Qualification,14.62,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",11464,12,Aleksandra,TOTKOVA,,,BUL,26,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
31,6768,Semi-Final,38,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '38', 'plus': False, 'restarted': False, 'time_ms': 294000, 'modified': '2021-09-21 08:26:19 +00:00', 'status': 'confirmed'}]",11464,12,Aleksandra,TOTKOVA,,,BUL,26,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
32,6141,Qualification,10.45,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 11, 'corrective_rank': 11.5, 'score': '36'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",11783,13,Ryu,NAKAGAWA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
33,6768,Semi-Final,37,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '37', 'plus': False, 'restarted': False, 'time_ms': 260000, 'modified': '2021-09-21 08:44:05 +00:00', 'status': 'confirmed'}]",11783,13,Ryu,NAKAGAWA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
34,6141,Qualification,4.8,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 11, 'corrective_rank': 11.5, 'score': '36'}, {'route_id': 1086, 'route_name': '2', 'top': True, 'plus': False, 'rank': 1, 'corrective_rank': 2, 'score': 'TOP'}]",1160,14,Lucka,RAKOVEC,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
35,6768,Semi-Final,35+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '35+', 'plus': True, 'restarted': False, 'time_ms': 244000, 'modified': '2021-09-21 09:25:29 +00:00', 'status': 'confirmed'}]",1160,14,Lucka,RAKOVEC,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
36,6141,Qualification,16.88,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 13, 'corrective_rank': 15, 'score': '34+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 17, 'corrective_rank': 19, 'score': '37+'}]",147,15,Viktoriia,MESHKOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
37,6768,Semi-Final,33+,"[{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '33+', 'plus': True, 'restarted': False, 'time_ms': 227000, 'modified': '2021-09-21 08:04:51 +00:00', 'status': 'confirmed'}]",147,15,Viktoriia,MESHKOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
38,6141,Qualification,6.16,"[{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 4, 'corrective_rank': 4, 'score': '41'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]",1153,16,Vita,LUKAN,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,
