event_id,event_name,categories_list
956,IFSC Paraclimbing World Championships - Paris (FRA) 2016,"[{'category': 'LEAD Men visual impairment B1', 'results_url': '/api/v1/events/956/result/61'}, {'category': 'LEAD Men visual impairment B2', 'results_url': '/api/v1/events/956/result/65'}, {'category': 'LEAD Men AL-2', 'results_url': '/api/v1/events/956/result/81'}, {'category': 'LEAD Men RP1', 'results_url': '/api/v1/events/956/result/97'}, {'category': 'LEAD Men RP2', 'results_url': '/api/v1/events/956/result/101'}, {'category': 'LEAD Men RP3', 'results_url': '/api/v1/events/956/result/105'}, {'category': 'LEAD Women AU-2 (Forearm Amputee)', 'results_url': '/api/v1/events/956/result/117'}, {'category': 'LEAD Women AL-2', 'results_url': '/api/v1/events/956/result/153'}, {'category': 'LEAD Women RP3', 'results_url': '/api/v1/events/956/result/177'}]"
957,Paraclimbing Cup (L) - Sheffield (GBR) 2016,"[{'category': 'LEAD Men AU-2 (Forearm Amputee)', 'results_url': '/api/v1/events/957/result/45'}, {'category': 'LEAD Men visual impairment B1', 'results_url': '/api/v1/events/957/result/61'}, {'category': 'LEAD Men AL-2', 'results_url': '/api/v1/events/957/result/81'}, {'category': 'LEAD Men RP3', 'results_url': '/api/v1/events/957/result/105'}, {'category': 'LEAD Women AU-2 (Forearm Amputee)', 'results_url': '/api/v1/events/957/result/117'}, {'category': 'LEAD Women AL-2', 'results_url': '/api/v1/events/957/result/153'}, {'category': 'LEAD Women RP3', 'results_url': '/api/v1/events/957/result/177'}]"
958,Asian Continental Championship - Duyun (CHN) 2016,"[{'category': 'LEAD Men', 'results_url': '/api/v1/events/958/result/185'}, {'category': 'LEAD Women', 'results_url': '/api/v1/events/958/result/189'}, {'category': 'BOULDER Men', 'results_url': '/api/v1/events/958/result/187'}, {'category': 'BOULDER Women', 'results_url': '/api/v1/events/958/result/191'}, {'category': 'SPEED Men', 'results_url': '/api/v1/events/958/result/186'}, {'category': 'SPEED Women', 'results_url': '/api/v1/events/958/result/190'}]"
959,Asian Youth Championship - Tehran (IRI) 2016,"[{'category': 'BOULDER Juniors Male', 'results_url': '/api/v1/events/959/result/195'}, {'category': 'BOULDER Youth A Male', 'results_url': '/api/v1/events/959/result/199'}, {'category': 'BOULDER Youth B Male', 'results_url': '/api/v1/events/959/result/203'}, {'category': 'BOULDER Juniors Female', 'results_url': '/api/v1/events/959/result/211'}, {'category': 'BOULDER Youth A Female', 'results_url': '/api/v1/events/959/result/215'}, {'category': 'BOULDER Youth B Female', 'results_url': '/api/v1/events/959/result/219'}, {'category': 'SPEED Juniors Male', 'results_url': '/api/v1/events/959/result/194'}, {'category': 'SPEED Youth A Male', 'results_url': '/api/v1/events/959/result/198'}, {'category': 'SPEED Youth B Male', 'results_url': '/api/v1/events/959/result/202'}, {'category': 'SPEED Juniors Female', 'results_url': '/api/v1/events/959/result/210'}, {'category': 'SPEED Youth A Female', 'results_url': '/api/v1/events/959/result/214'}, {'category': 'SPEED Youth B Female', 'results_url': '/api/v1/events/959/result/218'}, {'category': 'LEAD Juniors Male', 'results_url': '/api/v1/events/959/result/193'}, {'category': 'LEAD Youth A Male', 'results_url': '/api/v1/events/959/result/197'}, {'category': 'LEAD Youth B Male', 'results_url': '/api/v1/events/959/result/201'}, {'category': 'LEAD Juniors Female', 'results_url': '/api/v1/events/959/result/209'}, {'category': 'LEAD Youth A Female', 'results_url': '/api/v1/events/959/result/213'}, {'category': 'LEAD Youth B Female', 'results_url': '/api/v1/events/959/result/217'}]"
960,European Youth Cup (S) - Tarnow (POL) 2016 ,"[{'category': 'SPEED Juniors Male', 'results_url': '/api/v1/events/960/result/234'}, {'category': 'SPEED Youth A Male', 'results_url': '/api/v1/events/960/result/238'}, {'category': 'SPEED Youth B Male', 'results_url': '/api/v1/events/960/result/242'}, {'category': 'SPEED Juniors Female', 'results_url': '/api/v1/events/960/result/250'}, {'category': 'SPEED Youth A Female', 'results_url': '/api/v1/events/960/result/254'}, {'category': 'SPEED Youth B Female', 'results_url': '/api/v1/events/960/result/258'}]"
961,European Youth Cup (B) - Soure (POR) 2016,"[{'category': 'BOULDER Juniors Male', 'results_url': '/api/v1/events/961/result/235'}, {'category': 'BOULDER Youth A Male', 'results_url': '/api/v1/events/961/result/239'}, {'category': 'BOULDER Youth B Male', 'results_url': '/api/v1/events/961/result/243'}, {'category': 'BOULDER Juniors Female', 'results_url': '/api/v1/events/961/result/251'}, {'category': 'BOULDER Youth A Female', 'results_url': '/api/v1/events/961/result/255'}, {'category': 'BOULDER Youth B Female', 'results_url': '/api/v1/events/961/result/259'}]"
962,European Youth Cup (L) - Imst (AUT) 2016 ,"[{'category': 'LEAD Juniors Male', 'results_url': '/api/v1/events/962/result/233'}, {'category': 'LEAD Youth A Male', 'results_url': '/api/v1/events/962/result/237'}, {'category': 'LEAD Youth B Male', 'results_url': '/api/v1/events/962/result/241'}, {'category': 'LEAD Juniors Female', 'results_url': '/api/v1/events/962/result/249'}, {'category': 'LEAD Youth A Female', 'results_url': '/api/v1/events/962/result/253'}, {'category': 'LEAD Youth B Female', 'results_url': '/api/v1/events/962/result/257'}]"
963,European Youth Cup (B) - Graz (AUT) 2016 ,"[{'category': 'BOULDER Juniors Male', 'results_url': '/api/v1/events/963/result/235'}, {'category': 'BOULDER Youth A Male', 'results_url': '/api/v1/events/963/result/239'}, {'category': 'BOULDER Youth B Male', 'results_url': '/api/v1/events/963/result/243'}, {'category': 'BOULDER Juniors Female', 'results_url': '/api/v1/events/963/result/251'}, {'category': 'BOULDER Youth A Female', 'results_url': '/api/v1/events/963/result/255'}, {'category': 'BOULDER Youth B Female', 'results_url': '/api/v1/events/963/result/259'}]"
964,European Youth Cup (B) - Warsaw (POL) 2016 ,"[{'category': 'BOULDER Juniors Male', 'results_url': '/api/v1/events/964/result/235'}, {'category': 'BOULDER Youth A Male', 'results_url': '/api/v1/events/964/result/239'}, {'category': 'BOULDER Youth B Male', 'results_url': '/api/v1/events/964/result/243'}, {'category': 'BOULDER Juniors Female', 'results_url': '/api/v1/events/964/result/251'}, {'category': 'BOULDER Youth A Female', 'results_url': '/api/v1/events/964/result/255'}, {'category': 'BOULDER Youth B Female', 'results_url': '/api/v1/events/964/result/259'}]"
965,European Youth Cup (B) - L'Argentière (FRA) 2016 ,"[{'category': 'BOULDER Juniors Male', 'results_url': '/api/v1/events/965/result/235'}, {'category': 'BOULDER Youth A Male', 'results_url': '/api/v1/events/965/result/239'}, {'category': 'BOULDER Youth B Male', 'results_url': '/api/v1/events/965/result/243'}, {'category': 'BOULDER Juniors Female', 'results_url': '/api/v1/events/965/result/251'}, {'category': 'BOULDER Youth A Female', 'results_url': '/api/v1/events/965/result/255'}, {'category': 'BOULDER Youth B Female', 'results_url': '/api/v1/events/965/result/259'}]"
