,stage_name,stage_score,stage_rank,category_round_id,round_name,score,athlete_id,rank,firstname,lastname,country,federation_id,comp_name,route_id,route_name,top,top_tries,zone,zone_tries,low_zone,points,low_zone_tries,modified,status,plus
80,Boulder,34.4,10,8351,Semi-final,88.5,1803,9,Natalia,GROSSMAN,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826,1,FALSE,3,TRUE,1,TRUE,10,1,2023-08-09 08:48:16 +00:00,locked,
81,Boulder,34.4,10,8351,Semi-final,88.5,1803,9,Natalia,GROSSMAN,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827,2,FALSE,7,FALSE,7,TRUE,5,1,2023-08-09 08:59:47 +00:00,locked,
82,Boulder,34.4,10,8351,Semi-final,88.5,1803,9,Natalia,GROSSMAN,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828,3,FALSE,7,TRUE,2,TRUE,9.9,2,2023-08-09 09:10:35 +00:00,locked,
83,Boulder,34.4,10,8351,Semi-final,88.5,1803,9,Natalia,GROSSMAN,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829,4,FALSE,8,TRUE,6,TRUE,9.5,1,2023-08-09 09:22:22 +00:00,locked,
84,Lead,54.1,6,8351,Semi-final,88.5,1803,9,Natalia,GROSSMAN,USA,20,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830,1,FALSE,,,,,,,2023-08-09 19:59:45 +00:00,locked,TRUE
85,Boulder,29.3,15,8351,Semi-final,86.4,2080,10,Chaehyun,SEO,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826,1,FALSE,4,TRUE,3,TRUE,9.8,2,2023-08-09 08:48:21 +00:00,locked,
86,Boulder,29.3,15,8351,Semi-final,86.4,2080,10,Chaehyun,SEO,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827,2,FALSE,7,FALSE,7,TRUE,4.8,3,2023-08-09 08:59:48 +00:00,locked,
87,Boulder,29.3,15,8351,Semi-final,86.4,2080,10,Chaehyun,SEO,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828,3,FALSE,8,TRUE,3,TRUE,9.8,2,2023-08-09 09:10:36 +00:00,locked,
88,Boulder,29.3,15,8351,Semi-final,86.4,2080,10,Chaehyun,SEO,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829,4,FALSE,9,FALSE,9,TRUE,4.9,2,2023-08-09 09:22:22 +00:00,locked,
89,Lead,57.1,5,8351,Semi-final,86.4,2080,10,Chaehyun,SEO,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830,1,FALSE,,,,,,,2023-08-09 20:00:04 +00:00,locked,TRUE
90,Boulder,28.2,16,8351,Semi-final,82.3,462,11,Manon,HILY,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826,1,FALSE,3,TRUE,2,TRUE,9.9,1,2023-08-09 08:47:54 +00:00,locked,
91,Boulder,28.2,16,8351,Semi-final,82.3,462,11,Manon,HILY,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827,2,FALSE,5,TRUE,4,TRUE,9.7,1,2023-08-09 08:10:34 +00:00,locked,
92,Boulder,28.2,16,8351,Semi-final,82.3,462,11,Manon,HILY,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828,3,FALSE,13,FALSE,13,TRUE,4,11,2023-08-09 09:10:26 +00:00,locked,
93,Boulder,28.2,16,8351,Semi-final,82.3,462,11,Manon,HILY,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829,4,FALSE,9,FALSE,9,TRUE,4.6,5,2023-08-09 09:22:09 +00:00,locked,
94,Lead,54.1,6,8351,Semi-final,82.3,462,11,Manon,HILY,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830,1,FALSE,,,,,,,2023-08-09 19:31:31 +00:00,locked,TRUE
95,Boulder,24.6,17,8351,Semi-final,78.7,642,12,Molly,THOMPSON-SMITH,GBR,11,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826,1,FALSE,2,TRUE,2,TRUE,9.9,1,2023-08-09 08:48:03 +00:00,locked,
