,Unnamed: 0.1,stage_name,stage_score,stage_rank,Unnamed: 0,category_round_id,round_name,score,athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,route_id,route_name,top,top_tries,zone,zone_tries,low_zone,points,low_zone_tries,modified,status,plus,restarted,time_ms
46,28,Boulder,14.1,8,14,8353,Final,106.2,2035,5,Jain,KIM,,,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837.0,2,False,8.0,False,8.0,True,4.5,6.0,2023-08-11 17:36:56 +00:00,locked,,,
47,28,Boulder,14.1,8,14,8353,Final,106.2,2035,5,Jain,KIM,,,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838.0,3,False,5.0,False,5.0,False,0.0,5.0,2023-08-11 17:57:17 +00:00,locked,,,
48,28,Boulder,14.1,8,14,8353,Final,106.2,2035,5,Jain,KIM,,,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10839.0,4,False,9.0,False,9.0,True,4.7,4.0,2023-08-11 18:18:46 +00:00,locked,,,
49,29,Lead,92.1,2,14,8353,Final,106.2,2035,5,Jain,KIM,,,KOR,21,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10840.0,1,False,,,,,,,2023-08-11 19:36:22 +00:00,locked,True,False,
50,32,Boulder,79.4,2,16,8351,Semi-final,133.5,11462,6,Oriane,BERTONE,,,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10826.0,1,True,1.0,True,1.0,True,25.0,1.0,2023-08-09 08:48:23 +00:00,locked,,,
51,32,Boulder,79.4,2,16,8351,Semi-final,133.5,11462,6,Oriane,BERTONE,,,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10827.0,2,False,5.0,False,5.0,True,5.0,1.0,2023-08-09 08:59:55 +00:00,locked,,,
52,32,Boulder,79.4,2,16,8351,Semi-final,133.5,11462,6,Oriane,BERTONE,,,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10828.0,3,True,2.0,True,1.0,True,24.9,1.0,2023-08-09 09:10:46 +00:00,locked,,,
53,32,Boulder,79.4,2,16,8351,Semi-final,133.5,11462,6,Oriane,BERTONE,,,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10829.0,4,True,6.0,True,3.0,True,24.5,2.0,2023-08-09 09:22:30 +00:00,locked,,,
54,33,Lead,54.1,6,16,8351,Semi-final,133.5,11462,6,Oriane,BERTONE,,,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10830.0,1,False,,,,,,,2023-08-09 20:09:24 +00:00,locked,True,False,0.0
55,34,Boulder,54.7,4,17,8353,Final,93.8,11462,6,Oriane,BERTONE,,,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10836.0,1,False,4.0,True,2.0,True,9.9,2.0,2023-08-11 17:41:41 +00:00,locked,,,
56,34,Boulder,54.7,4,17,8353,Final,93.8,11462,6,Oriane,BERTONE,,,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10837.0,2,True,3.0,True,2.0,True,24.8,1.0,2023-08-11 18:02:01 +00:00,locked,,,
57,34,Boulder,54.7,4,17,8353,Final,93.8,11462,6,Oriane,BERTONE,,,FRA,10,"IFSC - Climbing World Championships (B,L,S,B&L) - Bern (SUI) 2023",10838.0,3,False,2.0,True,1.0,True,10.0,1.0,2023-08-11 18:28:47 +00:00,locked,,,
