athlete_id,rank,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,rounds,comp_name
1148,21.0,Tjasa,SLEMENSEK,,,SLO,15,"[{'category_round_id': 6141, 'round_name': 'Qualification', 'score': '23.24', 'ascents': [{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 24, 'corrective_rank': 24, 'score': '33+'}]}, {'category_round_id': 6768, 'round_name': 'Semi-Final', 'score': '28+', 'ascents': [{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '28+', 'plus': True, 'restarted': False, 'time_ms': 197000, 'modified': '2021-09-21 07:34:08 +00:00', 'status': 'confirmed'}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3113,22.0,Hannah,MEUL,,,GER,6,"[{'category_round_id': 6141, 'round_name': 'Qualification', 'score': '27.13', 'ascents': [{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 30, 'corrective_rank': 32, 'score': '23+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 23, 'corrective_rank': 23, 'score': '35+'}]}, {'category_round_id': 6768, 'round_name': 'Semi-Final', 'score': '28+', 'ascents': [{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '28+', 'plus': True, 'restarted': False, 'time_ms': 184000, 'modified': '2021-09-21 07:23:17 +00:00', 'status': 'confirmed'}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
3254,23.0,Andrea,KÜMIN,,,SUI,8,"[{'category_round_id': 6141, 'round_name': 'Qualification', 'score': '23.04', 'ascents': [{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 18, 'corrective_rank': 18, 'score': '31+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 29, 'corrective_rank': 29.5, 'score': '29+'}]}, {'category_round_id': 6768, 'round_name': 'Semi-Final', 'score': '27+', 'ascents': [{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '27+', 'plus': True, 'restarted': False, 'time_ms': 167000, 'modified': '2021-09-21 07:43:30 +00:00', 'status': 'confirmed'}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1155,24.0,Lana,SKUSEK,,,SLO,15,"[{'category_round_id': 6141, 'round_name': 'Qualification', 'score': '21.47', 'ascents': [{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 42, 'corrective_rank': 48.5, 'score': '19+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 6, 'corrective_rank': 9.5, 'score': '39+'}]}, {'category_round_id': 6768, 'round_name': 'Semi-Final', 'score': '24', 'ascents': [{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '24', 'plus': False, 'restarted': False, 'time_ms': 161000, 'modified': '2021-09-21 07:47:09 +00:00', 'status': 'confirmed'}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1239,25.0,Julia,FISER,,,AUT,16,"[{'category_round_id': 6141, 'round_name': 'Qualification', 'score': '27.25', 'ascents': [{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 31, 'corrective_rank': 33, 'score': '29'}]}, {'category_round_id': 6768, 'round_name': 'Semi-Final', 'score': '22', 'ascents': [{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '22', 'plus': False, 'restarted': False, 'time_ms': 140000, 'modified': '2021-09-21 07:25:01 +00:00', 'status': 'confirmed'}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
947,26.0,Camilla,MORONI,,,ITA,13,"[{'category_round_id': 6141, 'round_name': 'Qualification', 'score': '19.75', 'ascents': [{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 13, 'corrective_rank': 15, 'score': '34+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 26, 'corrective_rank': 26, 'score': '32'}]}, {'category_round_id': 6768, 'round_name': 'Semi-Final', 'score': '21+', 'ascents': [{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '21+', 'plus': True, 'restarted': False, 'time_ms': 107000, 'modified': '2021-09-21 07:59:31 +00:00', 'status': 'confirmed'}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
4301,27.0,Michelle,HULLIGER,,,SUI,8,"[{'category_round_id': 6141, 'round_name': 'Qualification', 'score': '22.25', 'ascents': [{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 22, 'corrective_rank': 22, 'score': '36+'}]}, {'category_round_id': 6768, 'round_name': 'Semi-Final', 'score': '21+', 'ascents': [{'route_id': 5554, 'route_name': '1', 'top': False, 'score': '21+', 'plus': True, 'restarted': False, 'time_ms': 187000, 'modified': '2021-09-21 07:43:26 +00:00', 'status': 'confirmed'}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
12537,28.0,Kylie,CULLEN,,,USA,20,"[{'category_round_id': 6141, 'round_name': 'Qualification', 'score': '29.43', 'ascents': [{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 19, 'corrective_rank': 22.5, 'score': '25+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 36, 'corrective_rank': 38.5, 'score': '28+'}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
1438,29.0,Michaela,SMETANOVA,,,CZE,17,"[{'category_round_id': 6141, 'round_name': 'Qualification', 'score': '30.36', 'ascents': [{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': True, 'rank': 42, 'corrective_rank': 48.5, 'score': '19+'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': True, 'rank': 17, 'corrective_rank': 19, 'score': '37+'}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
316,30.0,Chloe,CAULIER,,,BEL,9,"[{'category_round_id': 6141, 'round_name': 'Qualification', 'score': '30.4', 'ascents': [{'route_id': 1085, 'route_name': '1', 'top': False, 'plus': False, 'rank': 27, 'corrective_rank': 28, 'score': '25'}, {'route_id': 1086, 'route_name': '2', 'top': False, 'plus': False, 'rank': 31, 'corrective_rank': 33, 'score': '29'}]}]","IFSC - Climbing World Championships (B,L,S) - Moscow 2021"
