,route_id,route_name,top,plus,rank,corrective_rank,score,Unnamed: 0,category_round_id,round_name,athlete_id,firstname,lastname,paraclimbing_sport_class,sport_class_status,country,federation_id,comp_name,starting_group,speed_elimination_stages,restarted,time_ms,modified,status,ascents
41,1085.0,1,False,True,12.0,22.5,14.62,30,6141,Qualification,11464,Aleksandra,TOTKOVA,,,BUL,26,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
42,1086.0,2,False,True,12.0,9.5,14.62,30,6141,Qualification,11464,Aleksandra,TOTKOVA,,,BUL,26,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
43,5554.0,1,False,False,12.0,,38,31,6768,Semi-Final,11464,Aleksandra,TOTKOVA,,,BUL,26,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,294000.0,2021-09-21 08:26:19 +00:00,confirmed,
44,1085.0,1,False,False,13.0,11.5,10.45,32,6141,Qualification,11783,Ryu,NAKAGAWA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
45,1086.0,2,False,True,13.0,9.5,10.45,32,6141,Qualification,11783,Ryu,NAKAGAWA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
46,5554.0,1,False,False,13.0,,37,33,6768,Semi-Final,11783,Ryu,NAKAGAWA,,,JPN,25,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,260000.0,2021-09-21 08:44:05 +00:00,confirmed,
47,1085.0,1,False,False,14.0,11.5,4.8,34,6141,Qualification,1160,Lucka,RAKOVEC,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
48,1086.0,2,True,False,14.0,2.0,4.8,34,6141,Qualification,1160,Lucka,RAKOVEC,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
49,5554.0,1,False,True,14.0,,35+,35,6768,Semi-Final,1160,Lucka,RAKOVEC,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,244000.0,2021-09-21 09:25:29 +00:00,confirmed,
50,1085.0,1,False,True,15.0,15.0,16.88,36,6141,Qualification,147,Viktoriia,MESHKOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
51,1086.0,2,False,True,15.0,19.0,16.88,36,6141,Qualification,147,Viktoriia,MESHKOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
52,5554.0,1,False,True,15.0,,33+,37,6768,Semi-Final,147,Viktoriia,MESHKOVA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,227000.0,2021-09-21 08:04:51 +00:00,confirmed,
53,1085.0,1,False,False,16.0,4.0,6.16,38,6141,Qualification,1153,Vita,LUKAN,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
54,1086.0,2,False,True,16.0,9.5,6.16,38,6141,Qualification,1153,Vita,LUKAN,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
55,5554.0,1,False,False,16.0,,30,39,6768,Semi-Final,1153,Vita,LUKAN,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,220000.0,2021-09-21 09:12:43 +00:00,confirmed,
56,1085.0,1,False,True,17.0,22.5,27.25,40,6141,Qualification,1486,Ievgeniia,KAZBEKOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
57,1086.0,2,False,False,17.0,33.0,27.25,40,6141,Qualification,1486,Ievgeniia,KAZBEKOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
58,5554.0,1,False,False,17.0,,30,41,6768,Semi-Final,1486,Ievgeniia,KAZBEKOVA,,,UKR,18,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,190000.0,2021-09-21 07:15:52 +00:00,confirmed,
59,1085.0,1,False,False,18.0,28.0,20.15,42,6141,Qualification,144,Elena,KRASOVSKAIA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
60,1086.0,2,False,True,18.0,14.5,20.15,42,6141,Qualification,144,Elena,KRASOVSKAIA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
61,5554.0,1,False,False,18.0,,29,43,6768,Semi-Final,144,Elena,KRASOVSKAIA,,,CFR,101,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,197000.0,2021-09-21 07:56:30 +00:00,confirmed,
62,1085.0,1,False,True,19.0,9.5,9.5,44,6141,Qualification,1161,Mia,KRAMPL,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
63,1086.0,2,False,True,19.0,9.5,9.5,44,6141,Qualification,1161,Mia,KRAMPL,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
64,5554.0,1,False,True,19.0,,28+,45,6768,Semi-Final,1161,Mia,KRAMPL,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,176000.0,2021-09-21 08:54:47 +00:00,confirmed,
65,1085.0,1,False,True,20.0,22.5,20.68,46,6141,Qualification,11420,Ignacia,MELLADO QUINTEROS,,,CHI,58,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
66,1086.0,2,False,True,20.0,19.0,20.68,46,6141,Qualification,11420,Ignacia,MELLADO QUINTEROS,,,CHI,58,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
67,5554.0,1,False,True,20.0,,28+,47,6768,Semi-Final,11420,Ignacia,MELLADO QUINTEROS,,,CHI,58,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,208000.0,2021-09-21 07:51:42 +00:00,confirmed,
68,1085.0,1,False,True,21.0,22.5,23.24,48,6141,Qualification,1148,Tjasa,SLEMENSEK,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
69,1086.0,2,False,True,21.0,24.0,23.24,48,6141,Qualification,1148,Tjasa,SLEMENSEK,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
70,5554.0,1,False,True,21.0,,28+,49,6768,Semi-Final,1148,Tjasa,SLEMENSEK,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,197000.0,2021-09-21 07:34:08 +00:00,confirmed,
71,1085.0,1,False,True,22.0,32.0,27.13,50,6141,Qualification,3113,Hannah,MEUL,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
72,1086.0,2,False,True,22.0,23.0,27.13,50,6141,Qualification,3113,Hannah,MEUL,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
73,5554.0,1,False,True,22.0,,28+,51,6768,Semi-Final,3113,Hannah,MEUL,,,GER,6,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,184000.0,2021-09-21 07:23:17 +00:00,confirmed,
74,1085.0,1,False,True,23.0,18.0,23.04,52,6141,Qualification,3254,Andrea,KÜMIN,,,SUI,8,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
75,1086.0,2,False,True,23.0,29.5,23.04,52,6141,Qualification,3254,Andrea,KÜMIN,,,SUI,8,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
76,5554.0,1,False,True,23.0,,27+,53,6768,Semi-Final,3254,Andrea,KÜMIN,,,SUI,8,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,167000.0,2021-09-21 07:43:30 +00:00,confirmed,
77,1085.0,1,False,True,24.0,48.5,21.47,54,6141,Qualification,1155,Lana,SKUSEK,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
78,1086.0,2,False,True,24.0,9.5,21.47,54,6141,Qualification,1155,Lana,SKUSEK,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
79,5554.0,1,False,False,24.0,,24,55,6768,Semi-Final,1155,Lana,SKUSEK,,,SLO,15,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,161000.0,2021-09-21 07:47:09 +00:00,confirmed,
80,1085.0,1,False,True,25.0,22.5,27.25,56,6141,Qualification,1239,Julia,FISER,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
81,1086.0,2,False,False,25.0,33.0,27.25,56,6141,Qualification,1239,Julia,FISER,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
82,5554.0,1,False,False,25.0,,22,57,6768,Semi-Final,1239,Julia,FISER,,,AUT,16,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,140000.0,2021-09-21 07:25:01 +00:00,confirmed,
83,1085.0,1,False,True,26.0,15.0,19.75,58,6141,Qualification,947,Camilla,MORONI,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
84,1086.0,2,False,False,26.0,26.0,19.75,58,6141,Qualification,947,Camilla,MORONI,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
85,5554.0,1,False,True,26.0,,21+,59,6768,Semi-Final,947,Camilla,MORONI,,,ITA,13,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,107000.0,2021-09-21 07:59:31 +00:00,confirmed,
86,1085.0,1,False,True,27.0,22.5,22.25,60,6141,Qualification,4301,Michelle,HULLIGER,,,SUI,8,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
87,1086.0,2,False,True,27.0,22.0,22.25,60,6141,Qualification,4301,Michelle,HULLIGER,,,SUI,8,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
88,5554.0,1,False,True,27.0,,21+,61,6768,Semi-Final,4301,Michelle,HULLIGER,,,SUI,8,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,False,187000.0,2021-09-21 07:43:26 +00:00,confirmed,
89,1085.0,1,False,True,28.0,22.5,29.43,62,6141,Qualification,12537,Kylie,CULLEN,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
90,1086.0,2,False,True,28.0,38.5,29.43,62,6141,Qualification,12537,Kylie,CULLEN,,,USA,20,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
91,1085.0,1,False,True,29.0,48.5,30.36,63,6141,Qualification,1438,Michaela,SMETANOVA,,,CZE,17,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
92,1086.0,2,False,True,29.0,19.0,30.36,63,6141,Qualification,1438,Michaela,SMETANOVA,,,CZE,17,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
93,1085.0,1,False,False,30.0,28.0,30.4,64,6141,Qualification,316,Chloe,CAULIER,,,BEL,9,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
94,1086.0,2,False,False,30.0,33.0,30.4,64,6141,Qualification,316,Chloe,CAULIER,,,BEL,9,"IFSC - Climbing World Championships (B,L,S) - Moscow 2021",,,,,,,
